week_start,partner_id,payment_method,processor,gateway_settled_volume,ledger_booked_volume,unmatched_batches,oldest_unmatched_hours,finance_confidence
2026-01-01,P001,card,processor_c,174253.57,166375.82,2,27.0,needs research
2026-01-01,P001,ach,processor_a,81693.5,79409.28,4,14.6,watch
2026-01-01,P001,card,processor_d,42880.87,43750.11,3,39.7,needs research
2026-01-01,P001,ach,processor_a,26163.89,25607.99,5,48.6,watch
2026-01-01,P001,card,processor_c,66911.93,63602.73,1,12.4,watch
2026-01-01,P001,ach,processor_b,31224.3,30190.45,5,35.3,watch
2026-01-01,P001,card,processor_b,35222.36,34217.29,0,26.9,watch
2026-01-01,P001,ach,processor_b,14508.95,14789.67,5,50.7,certified
2026-01-01,P001,card,processor_a,8211.37,8369.88,2,8.4,certified
2026-01-01,P001,card,processor_c,21969.5,22111.53,3,35.5,needs research
2026-01-01,P001,ach,processor_a,17462.26,17498.56,5,10.9,certified
2026-01-01,P002,card,processor_a,125066.57,124923.76,1,6.7,needs research
2026-01-01,P002,ach,processor_b,64766.82,67095.18,1,12.9,needs research
2026-01-01,P002,card,processor_b,51582.98,51513.45,2,7.5,needs research
2026-01-01,P002,ach,processor_d,27975.51,26987.79,4,58.2,watch
2026-01-01,P002,card,processor_a,48650.75,52037.24,3,24.4,watch
2026-01-01,P002,ach,processor_c,27239.52,27120.21,5,61.5,watch
2026-01-01,P002,card,processor_b,25316.08,25575.3,1,18.5,watch
2026-01-01,P002,ach,processor_a,11307.22,11057.19,5,47.6,certified
2026-01-01,P002,card,processor_d,6347.52,6771.15,2,29.1,certified
2026-01-01,P002,card,processor_d,14999.33,15260.52,1,28.7,watch
2026-01-01,P002,ach,processor_a,15843.06,15744.72,5,42.3,certified
2026-01-01,P003,card,processor_a,180730.44,180044.64,0,40.8,certified
2026-01-01,P003,ach,processor_a,75341.58,76821.79,0,57.9,certified
2026-01-01,P003,card,processor_a,70774.87,71031.22,3,29.8,certified
2026-01-01,P003,ach,processor_a,29028.79,27855.23,5,11.1,needs research
2026-01-01,P003,card,processor_a,56284.91,56260.82,3,4.6,watch
2026-01-01,P003,ach,processor_d,32560.63,30189.82,2,14.9,certified
2026-01-01,P003,card,processor_a,28273.3,28527.62,2,9.6,watch
2026-01-01,P003,ach,processor_b,16668.01,16897.6,2,84.4,certified
2026-01-01,P003,card,processor_b,8594.41,8925.76,0,8.5,watch
2026-01-01,P003,card,processor_d,19014.1,18635.26,0,15.9,needs research
2026-01-01,P003,ach,processor_a,18322.71,18155.63,3,5.2,needs research
2026-01-01,P004,card,processor_a,132938.39,127158.89,3,20.9,watch
2026-01-01,P004,ach,processor_a,54864.28,56687.98,5,4.7,certified
2026-01-01,P004,card,processor_d,43419.53,46530.82,2,16.6,needs research
2026-01-01,P004,ach,processor_a,23777.71,23862.53,5,57.2,watch
2026-01-01,P004,card,processor_b,43182.64,42625.99,0,38.4,watch
2026-01-01,P004,ach,processor_c,26519.25,26212.66,3,66.5,needs research
2026-01-01,P004,card,processor_a,20131.42,20421.2,3,24.3,needs research
2026-01-01,P004,ach,processor_b,11442.25,11414.92,2,23.8,watch
2026-01-01,P004,card,processor_a,5195.87,5323.82,3,34.0,certified
2026-01-01,P004,card,processor_b,15333.29,14606.5,0,34.3,needs research
2026-01-01,P004,ach,processor_a,16137.08,15595.91,5,46.3,needs research
2026-01-01,P005,card,processor_a,151847.6,153185.65,2,18.4,needs research
2026-01-01,P005,ach,processor_a,77286.58,77572.56,0,86.4,certified
2026-01-01,P005,card,processor_c,56363.88,54699.58,0,9.0,watch
2026-01-01,P005,ach,processor_b,34935.78,34684.81,3,40.2,certified
2026-01-01,P005,card,processor_b,75035.14,72772.42,2,23.0,watch
2026-01-01,P005,ach,processor_d,38569.7,38675.0,3,65.2,certified
2026-01-01,P005,card,processor_b,37891.71,38030.95,2,24.8,needs research
2026-01-01,P005,ach,processor_d,13466.07,13117.2,3,30.2,watch
2026-01-01,P005,card,processor_c,8827.43,8855.45,0,25.0,watch
2026-01-01,P005,card,processor_b,21360.37,21734.48,0,29.7,certified
2026-01-01,P005,ach,processor_b,16610.07,16188.1,1,79.2,needs research
2026-01-01,P006,card,processor_a,112085.42,111777.69,2,42.8,needs research
2026-01-01,P006,ach,processor_a,55476.43,55317.46,4,39.7,needs research
2026-01-01,P006,card,processor_b,38068.4,38060.08,0,34.6,needs research
2026-01-01,P006,ach,processor_b,18376.99,19673.42,2,64.3,needs research
2026-01-01,P006,card,processor_b,45165.28,46206.48,3,9.6,certified
2026-01-01,P006,ach,processor_d,18812.51,18250.56,5,89.8,watch
2026-01-01,P006,card,processor_b,21038.68,21296.71,0,6.0,needs research
2026-01-01,P006,ach,processor_d,10732.52,10995.84,5,4.3,certified
2026-01-01,P006,card,processor_c,6066.26,5791.4,1,39.7,watch
2026-01-01,P006,card,processor_c,14141.04,14989.7,0,17.0,certified
2026-01-01,P006,ach,processor_c,16562.98,16451.21,1,69.1,needs research
2026-01-01,P007,card,processor_a,97936.26,99715.92,2,6.0,certified
2026-01-01,P007,ach,processor_a,53000.64,52529.79,1,61.8,certified
2026-01-01,P007,card,processor_c,42811.3,40954.97,0,29.7,watch
2026-01-01,P007,ach,processor_b,19838.01,19165.51,4,51.5,needs research
2026-01-01,P007,card,processor_b,38046.3,36571.58,3,23.6,watch
2026-01-01,P007,ach,processor_c,18920.28,18760.54,0,11.8,needs research
2026-01-01,P007,card,processor_b,15045.6,14386.92,3,29.6,needs research
2026-01-01,P007,ach,processor_a,10202.7,10303.79,5,12.3,needs research
2026-01-01,P007,card,processor_d,4143.42,4201.17,0,28.9,needs research
2026-01-01,P007,card,processor_b,11311.12,11819.21,1,12.6,watch
2026-01-01,P007,ach,processor_b,15001.6,15293.09,2,39.4,certified
2026-01-01,P008,card,processor_a,140279.52,146357.49,3,11.1,watch
2026-01-01,P008,ach,processor_c,73126.72,70490.12,2,79.2,certified
2026-01-01,P008,card,processor_c,45556.77,45011.0,1,7.5,certified
2026-01-01,P008,ach,processor_c,26478.76,25917.11,3,43.9,needs research
2026-01-01,P008,card,processor_b,53378.82,51694.31,0,17.5,certified
2026-01-01,P008,ach,processor_b,21407.18,21748.54,4,60.0,watch
