incident_id,opened_date,partner_id,channel,payment_method,processor,issue_type,severity,estimated_transactions_at_risk,estimated_volume_at_risk,owner,status
INC0001,2026-01-01,P004,in_app,wallet,processor_b,batch settlement delay,medium,3,150.32,product engineering,monitoring
INC0002,2026-01-01,P005,in_store,ach,processor_d,batch settlement delay,medium,10,819.9,support operations,triage
INC0003,2026-01-01,P006,in_store,p2p,processor_a,processor latency,low,4,107.96,support operations,fix queued
INC0004,2026-01-01,P008,online,p2p,processor_b,ledger variance,medium,10,66.58,finance operations,root cause found
INC0005,2026-01-02,P001,mobile,tokenized_card,processor_a,missing webhook,medium,4,68.07,product engineering,triage
INC0006,2026-01-02,P002,in_store,wallet,processor_b,processor latency,low,8,244.51,product engineering,triage
INC0007,2026-01-02,P004,in_store,card,processor_c,ACH return spike,medium,28,1208.6,product engineering,fix queued
INC0008,2026-01-02,P005,online,p2p,processor_d,ACH return spike,medium,9,100.0,data insights,monitoring
INC0009,2026-01-02,P005,mobile,p2p,processor_a,ACH return spike,medium,5,57.15,support operations,triage
INC0010,2026-01-02,P007,in_app,tokenized_card,processor_a,ACH return spike,low,3,106.83,product engineering,fix queued
INC0011,2026-01-02,P008,mobile,wallet,processor_c,ACH return spike,low,6,66.97,support operations,monitoring
INC0012,2026-01-03,P001,in_app,card,processor_b,ledger variance,medium,33,1059.67,product engineering,fix queued
INC0013,2026-01-03,P002,mobile,ach,processor_d,ledger variance,low,6,309.09,product engineering,root cause found
INC0014,2026-01-03,P002,mobile,tokenized_card,processor_c,duplicate transaction event,medium,2,57.22,data insights,fix queued
INC0015,2026-01-03,P003,online,ach,processor_c,missing webhook,medium,5,803.6,data insights,triage
INC0016,2026-01-03,P007,mobile,card,processor_b,missing webhook,low,10,414.27,finance operations,triage
INC0017,2026-01-04,P001,in_store,ach,processor_d,duplicate transaction event,low,10,691.26,data insights,root cause found
INC0018,2026-01-04,P001,recurring,wallet,processor_c,missing webhook,medium,5,184.32,finance operations,fix queued
INC0019,2026-01-04,P002,in_store,ach,processor_d,batch settlement delay,low,4,194.78,product engineering,root cause found
INC0020,2026-01-04,P005,in_app,p2p,processor_c,duplicate transaction event,low,1,71.84,finance operations,root cause found
INC0021,2026-01-04,P006,recurring,ach,processor_d,ledger variance,low,2,140.98,support operations,triage
INC0022,2026-01-05,P004,in_store,p2p,processor_a,duplicate transaction event,medium,6,99.84,finance operations,triage
INC0023,2026-01-06,P001,mobile,tokenized_card,processor_a,processor latency,medium,4,107.92,support operations,triage
INC0024,2026-01-06,P002,online,p2p,processor_b,ledger variance,medium,3,379.45,finance operations,fix queued
INC0025,2026-01-06,P002,in_store,ach,processor_d,processor latency,low,7,172.76,finance operations,fix queued
INC0026,2026-01-06,P004,unattended,wallet,processor_c,duplicate transaction event,low,2,57.5,product engineering,fix queued
INC0027,2026-01-06,P006,mobile,card,processor_a,duplicate transaction event,medium,20,302.92,product engineering,fix queued
INC0028,2026-01-06,P008,online,p2p,processor_c,ledger variance,low,7,240.65,support operations,monitoring
INC0029,2026-01-07,P003,online,p2p,processor_a,processor latency,low,5,342.11,product engineering,triage
INC0030,2026-01-07,P004,online,p2p,processor_b,batch settlement delay,medium,8,112.15,data insights,fix queued
INC0031,2026-01-07,P004,unattended,tokenized_card,processor_a,ACH return spike,low,4,17.39,data insights,root cause found
INC0032,2026-01-07,P006,in_app,p2p,processor_a,ledger variance,low,5,63.93,product engineering,monitoring
INC0033,2026-01-08,P002,mobile,ach,processor_c,missing webhook,low,8,155.07,data insights,fix queued
INC0034,2026-01-08,P002,recurring,card,processor_a,duplicate transaction event,low,2,287.85,finance operations,root cause found
INC0035,2026-01-08,P007,in_store,ach,processor_d,batch settlement delay,medium,8,161.75,data insights,root cause found
INC0036,2026-01-09,P001,in_app,ach,processor_d,duplicate transaction event,low,10,574.78,data insights,monitoring
INC0037,2026-01-09,P006,online,tokenized_card,processor_a,ledger variance,medium,2,177.0,support operations,triage
INC0038,2026-01-09,P006,unattended,tokenized_card,processor_b,processor latency,medium,4,77.96,finance operations,root cause found
INC0039,2026-01-11,P002,recurring,wallet,processor_b,duplicate transaction event,medium,3,229.02,finance operations,monitoring
INC0040,2026-01-11,P004,online,p2p,processor_a,ledger variance,low,6,197.02,product engineering,fix queued
INC0041,2026-01-11,P004,in_store,ach,processor_d,batch settlement delay,medium,12,213.07,data insights,monitoring
INC0042,2026-01-11,P004,mobile,card,processor_c,batch settlement delay,medium,13,132.61,finance operations,monitoring
INC0043,2026-01-11,P004,recurring,wallet,processor_d,batch settlement delay,medium,6,55.09,product engineering,monitoring
INC0044,2026-01-11,P006,recurring,card,processor_b,missing webhook,low,3,69.07,data insights,root cause found
INC0045,2026-01-12,P001,online,card,processor_a,batch settlement delay,low,42,913.6,support operations,triage
INC0046,2026-01-12,P004,in_app,ach,processor_c,duplicate transaction event,medium,8,302.07,product engineering,triage
INC0047,2026-01-12,P004,mobile,tokenized_card,processor_c,processor latency,low,5,133.51,product engineering,monitoring
INC0048,2026-01-12,P004,recurring,ach,processor_b,missing webhook,low,2,435.27,finance operations,triage
INC0049,2026-01-12,P005,in_app,card,processor_b,batch settlement delay,medium,30,1406.28,data insights,fix queued
INC0050,2026-01-12,P005,recurring,card,processor_a,batch settlement delay,low,3,129.35,finance operations,fix queued
INC0051,2026-01-12,P006,in_app,ach,processor_a,duplicate transaction event,medium,5,302.89,product engineering,root cause found
INC0052,2026-01-12,P007,recurring,wallet,processor_c,ACH return spike,medium,6,64.88,product engineering,monitoring
INC0053,2026-01-13,P001,unattended,card,processor_a,ledger variance,low,11,134.52,finance operations,monitoring
INC0054,2026-01-13,P003,online,tokenized_card,processor_a,batch settlement delay,medium,6,436.67,support operations,root cause found
INC0055,2026-01-13,P003,mobile,wallet,processor_b,batch settlement delay,low,2,120.48,support operations,monitoring
INC0056,2026-01-13,P004,online,ach,processor_b,ledger variance,medium,5,1125.93,finance operations,fix queued
INC0057,2026-01-13,P008,online,wallet,processor_c,duplicate transaction event,medium,20,601.29,product engineering,root cause found
INC0058,2026-01-14,P001,in_store,card,processor_d,missing webhook,low,41,1837.8,finance operations,root cause found
INC0059,2026-01-14,P004,online,tokenized_card,processor_d,ACH return spike,medium,2,276.19,finance operations,triage
INC0060,2026-01-14,P004,mobile,ach,processor_d,duplicate transaction event,medium,7,148.65,support operations,fix queued
INC0061,2026-01-14,P006,unattended,card,processor_d,duplicate transaction event,low,9,59.71,product engineering,triage
INC0062,2026-01-14,P007,online,card,processor_b,ACH return spike,medium,61,1165.14,data insights,triage
INC0063,2026-01-14,P007,in_app,ach,processor_d,processor latency,low,1,258.69,data insights,monitoring
INC0064,2026-01-14,P008,in_store,p2p,processor_d,processor latency,medium,4,65.65,support operations,root cause found
INC0065,2026-01-15,P001,mobile,wallet,processor_a,batch settlement delay,low,4,158.84,support operations,fix queued
INC0066,2026-01-15,P002,mobile,p2p,processor_b,missing webhook,medium,4,49.13,product engineering,fix queued
INC0067,2026-01-15,P003,mobile,wallet,processor_a,duplicate transaction event,medium,10,82.55,data insights,root cause found
INC0068,2026-01-15,P007,in_app,ach,processor_c,ACH return spike,low,2,559.24,product engineering,monitoring
INC0069,2026-01-15,P007,recurring,tokenized_card,processor_b,batch settlement delay,low,6,141.16,finance operations,monitoring
INC0070,2026-01-16,P001,online,p2p,processor_a,duplicate transaction event,low,10,297.89,data insights,fix queued
INC0071,2026-01-16,P001,online,wallet,processor_a,duplicate transaction event,medium,24,888.96,finance operations,triage
INC0072,2026-01-16,P004,online,p2p,processor_c,missing webhook,low,2,241.01,product engineering,triage
INC0073,2026-01-16,P004,mobile,wallet,processor_a,processor latency,medium,1,123.05,finance operations,triage
INC0074,2026-01-16,P006,recurring,card,processor_a,batch settlement delay,low,9,377.44,support operations,fix queued
INC0075,2026-01-17,P001,in_app,wallet,processor_c,ledger variance,low,11,259.25,product engineering,triage
INC0076,2026-01-17,P004,in_store,card,processor_a,processor latency,low,33,359.38,support operations,root cause found
INC0077,2026-01-17,P005,in_app,wallet,processor_c,ACH return spike,low,11,375.81,product engineering,fix queued
INC0078,2026-01-17,P005,unattended,wallet,processor_a,ACH return spike,medium,1,27.81,support operations,fix queued
INC0079,2026-01-18,P001,in_store,ach,processor_a,ledger variance,medium,14,805.04,support operations,triage
INC0080,2026-01-18,P004,in_app,tokenized_card,processor_b,ledger variance,low,3,62.55,finance operations,root cause found
INC0081,2026-01-18,P006,online,tokenized_card,processor_a,ACH return spike,medium,4,184.03,finance operations,fix queued
INC0082,2026-01-18,P006,in_store,p2p,processor_b,batch settlement delay,medium,1,52.95,finance operations,fix queued
INC0083,2026-01-19,P001,recurring,wallet,processor_a,ACH return spike,medium,4,179.17,support operations,triage
INC0084,2026-01-19,P002,online,tokenized_card,processor_c,processor latency,low,4,367.28,finance operations,root cause found
INC0085,2026-01-19,P007,in_store,ach,processor_a,duplicate transaction event,medium,2,438.92,support operations,root cause found
INC0086,2026-01-19,P008,online,ach,processor_c,batch settlement delay,low,4,1343.59,data insights,root cause found
INC0087,2026-01-20,P002,in_store,ach,processor_d,missing webhook,medium,13,527.1,data insights,monitoring
INC0088,2026-01-20,P004,in_app,ach,processor_a,ACH return spike,low,10,706.14,finance operations,triage
INC0089,2026-01-20,P006,online,ach,processor_d,batch settlement delay,low,10,657.93,support operations,root cause found
INC0090,2026-01-20,P006,in_app,p2p,processor_b,ACH return spike,medium,2,105.55,product engineering,fix queued
